City,Country,Venue,Opening_Act,Revenue,Tour,Tickets_Sold,Tickets_Available,Attendance_Rate,Opening_Act_Count
Evansville,United States,Roberts Municipal Stadium,"Gloriana, Kellie Pickler",360617.0,Fearless_Tour,7463.0,7463.0,1.0,2
Jonesboro,United States,Convocation Center,"Gloriana, Kellie Pickler",340328.0,Fearless_Tour,7822.0,7822.0,1.0,2
St. Louis,United States,Scottrade Center,"Gloriana, Kellie Pickler",650420.0,Fearless_Tour,13764.0,13764.0,1.0,2
North Charleston,United States,North Charleston Coliseum,"Gloriana, Kellie Pickler",398154.0,Fearless_Tour,8751.0,8751.0,1.0,2
Jacksonville,United States,Jacksonville Veterans Memorial Arena,"Gloriana, Kellie Pickler",507012.0,Fearless_Tour,11072.0,11072.0,1.0,2
Biloxi,United States,Mississippi Coast Coliseum,"Gloriana, Kellie Pickler",437313.0,Fearless_Tour,9436.0,9436.0,1.0,2
London,England,Shepherd's Bush Empire,Unknown,401328.0,Fearless_Tour,6789.0,6789.0,1.0,1
Spokane,United States,Spokane Arena,"Gloriana, Kellie Pickler",482146.0,Fearless_Tour,10798.0,10798.0,1.0,2
Seattle,United States,KeyArena,"Gloriana, Kellie Pickler",528637.0,Fearless_Tour,12061.0,12061.0,1.0,2
Portland,United States,Rose Garden Arena,"Gloriana, Kellie Pickler",613284.0,Fearless_Tour,13226.0,13226.0,1.0,2
Nampa,United States,Ford Arena,"Gloriana, Kellie Pickler",413622.0,Fearless_Tour,8970.0,8970.0,1.0,2
Glendale,United States,Jobing.com Arena,"Gloriana, Kellie Pickler",647923.0,Fearless_Tour,13052.0,13052.0,1.0,2
Los Angeles,United States,Staples Center,"Gloriana, Kellie Pickler",720940.0,Fearless_Tour,13648.0,13648.0,1.0,2
Paradise,United States,Mandalay Bay Events Center,"Gloriana, Kellie Pickler",551051.0,Fearless_Tour,8311.0,8311.0,1.0,2
San Diego,United States,Valley View Casino Center,"Gloriana, Kellie Pickler",502689.0,Fearless_Tour,10174.0,10174.0,1.0,2
Salt Lake City,United States,EnergySolutions Arena,"Gloriana, Kellie Pickler",555207.0,Fearless_Tour,13042.0,13042.0,1.0,2
Columbia,United States,Merriweather Post Pavilion,"Gloriana, Kellie Pickler",608438.0,Fearless_Tour,17619.0,17619.0,1.0,2
